id,title,type,target_id,target_num,task_dev_value,task_money,task_fortune_value,task_reward,rank_point,start_level,end_level,endRow
*uint,string,int,int,int,int,int,int,jsondata,int,int,int,
#ID<16777215 kinds<25,任务标题,任务类型,副本ID或类型ID,目标数量,发展值,联盟资金,个人贡献,礼包,影响排名积分,开始等级,结束等级,
1,通关任意副本,1,1,10000,0,100,100,"{""1400200001"":10}",300,1,4,
2,通关任意副本,1,1,12000,0,100,150,"{""1400100001"":20}",300,2,7,
3,通关任意副本,1,1,14000,0,100,200,"{""1400200001"":10}",300,5,8,
4,通关任意副本,1,1,16000,0,100,250,"{""1400100002"":15}",300,6,10,
5,通关任意副本,1,1,18000,0,100,300,"{""1400100003"":10}",300,8,10,
6,通关任意副本,1,1,20000,0,100,350,"{""1316101003"":5}",300,10,10,
7,参与炼狱,2,1,1000,0,100,120,"{""1326101001"":10}",300,1,4,
8,参与炼狱,2,1,1500,0,100,180,"{""1326101001"":10}",300,2,8,
9,参与炼狱,2,1,2000,0,100,240,"{""1326101002"":8}",300,5,10,
10,参与炼狱,2,1,2500,0,100,300,"{""1326101002"":8}",300,7,10,
11,参与战魔神殿,3,1,200,0,100,120,"{""1400500001"":10}",300,1,6,
12,参与战魔神殿,3,1,300,0,100,180,"{""1400500001"":10}",300,4,10,
13,参与战魔神殿,3,1,400,0,100,240,"{""1400500002"":5}",300,7,10,
14,参与战魔神殿,3,1,350,0,100,300,"{""1403100001"":10}",300,9,10,
15,参与深渊巢穴,4,1,300,0,100,120,"{""1316101001"":10}",300,1,5,
16,参与深渊巢穴,4,1,400,0,100,180,"{""1400300001"":10}",300,4,10,
17,参与深渊巢穴,4,1,500,0,100,240,"{""1316101002"":8}",300,6,10,
18,参与深渊巢穴,4,1,600,0,100,300,"{""1316101003"":5}",300,9,10,
19,普通神灵召唤,5,1,3000,0,100,120,"{""1403100001"":10}",300,1,5,
20,普通神灵召唤,5,1,4000,0,100,180,"{""1400200001"":10}",300,3,10,
21,普通神灵召唤,5,1,5000,0,100,240,"{""1403100001"":10}",300,6,10,
22,普通神灵召唤,5,1,6000,0,100,300,"{""1400200001"":10}",300,9,10,
23,高级神灵召唤,5,2,200,0,100,150,"{""1403200001"":10}",300,1,5,
24,高级神灵召唤,5,2,300,0,100,200,"{""1403100001"":10}",300,3,8,
25,高级神灵召唤,5,2,400,0,100,250,"{""1403200001"":10}",300,6,10,
26,高级神灵召唤,5,2,500,0,100,300,"{""1326101003"":5}",300,8,10,
27,高级神灵召唤,5,2,600,0,100,350,"{""1326101003"":5}",300,9,10,
28,装备升星,6,1,3000,0,100,100,"{""1400100001"":20}",300,1,1,
29,装备升星,6,1,500,0,100,100,"{""1400100001"":20}",300,2,10,
30,竞技场挑战,7,1,1000,0,100,120,"{""1400300001"":10}",300,1,6,
31,竞技场挑战,7,1,1500,0,100,180,"{""1316101001"":10}",300,5,8,
32,竞技场挑战,7,1,1750,0,100,240,"{""1400300001"":10}",300,7,10,
33,竞技场挑战,7,1,2000,0,100,300,"{""1316101002"":8}",300,9,10,
